Post,Comments
 Should I go For CS or for SE in FAST ISB. Reason of asking is that SE is new this time however FAST is famous for its CS.. Should I consider CS over SE or should remain for SE?,"{'Muhammad Ammar Abid': {'text': 'Go for CS. Some of the  content may be same but CS is a vast field which gives you more options to study other electives or choose sub fields in future while SE is already a part of CS and it may restrict your future options. Secondly while courses may…See More'}, 'Mubashir Ali': {'text': 'Haha! bhai SE is a subdomain of CS which means jo tum kah rahay cs famous hai yah sab chezain osi mein ati hai. Al, networking, cybersecurity, SE etc.'}}"
My Brother got adm in SE in ISL campus ..i want him to do some course before joing the UNI...Can u tell me from which programming language he should begin with? So that it will be easier for him to pick up things in start,"{'Zaid Siddiqui': {'text': 'C++ definietwly, I u have a good grasp of C++, u can learn any programming language easily'}, 'Affan Shikrani': {}}"
In which year FAST-NU ISB started offering SE ?and are they really good at it like Comsats ?,"{'M Usman Ashraf': {'text': 'SE is not the first year.'}, 'Rana Mehboob Ahmed': {'text': 'Its first tearthey areoffering'}}"
,"{'Syed Muhammad Danish Abdi': {'text': '85 shaid'}, 'Muhammad Shamaas': {}}"
ASSALAM O ALYKUM  I want to ask a thing Is FAST FAISALABAD campus better or NUTECH?,"{'Hamza Ejaz Malik': {}, 'Rana Mehboob Ahmed': {'text': 'Fast'}}"
,"{'Muneeb Ghumman': {'text': 'No, just at the time of admission as if you are topper of your board or first in admission test ... not after any semester.'}}"
"Multiple opportunities for paid internship in IS Audit function at a financial institution in Islamabad.  This is an equal opportunity position and females CS graduates are encouraged to apply. The positions are Islamabad based, interested person can send the CV at: #paidinternships #equalopportunity #informationsecurity #isaca #auditing",{}
"During the academic year, performance based koi scholarship milti he?","{'Ahsan Salman': {'text': 'yupp, warnings milti hain performance based'}, 'Husam Ali': {}}"
,"{'Sara Afzal': {}, 'Hamza Ejaz Malik': {}}"
How do I check my section ? I got selected in BS-CSDF after applying on SAT basis. The university only mailed me to come and receive the offer letter. Got an orientation timing change notif via SMS today but my section etc isn’t mentioned anywhere. No mails either,"{'Suleman Rehman': {}, 'Murtaza Haider': {'text': ""What's the orientation time?""}}"
Has anyone got admission in BS Cybersecurity?,"{'Syed Mohsin Naqvi': {'text': 'Yup in Karachi campus'}, 'Waleed Zafar': {}}"
Fast Peshawar campus kassa h For bscs plz guide..,"{'Syed Muhammad Ali': {}, 'Imran Khan': {}}"
,"{'Shiekh Huzaifa': {}, 'Muhammad Aizaz Burki': {'text': 'Third list ka kisi ko koi information hai ?'}}"
Fast islamabad saturday ko band hai ?,{'Zain Murtaza': {}}
Any Info about Ms Data science Second List???,{}
Accounting and finence ka bra ma koi bta skta kse field ha??,"{'Malik Mateen': {'text': 'BS finance ky bad certification kr lena best hojai ga'}, 'Sadiq Ahmad': {'text': 'Commerce me sabse acha subject konsa ha undergraduate'}}"
Fast may ab dobra admission open ho gy,{'Usama Jamil': {}}
I have been selected in fast ISLAMABAD campus in software engineering department.The due date to submit fees was 21 August.Can I submit the fees now and get admission?,"{'Usman Sattar Chaudhry': {'text': 'yes you can but first call them and give genuine reason as many students are on awaiting list .'}, 'Bisma Faisal': {}}"
,"{'Saral Hussain': {}, 'Shiekh Huzaifa': {}}"
Any chance if 3rd merit list in AI SE CS in Fast Isb ?,"{'Muhammad Shamaas': {}, 'Shiekh Huzaifa': {}}"
Salaam! Fast ke 2020 ke admission lene walo me se kisi ko koi mail ai k Classes kb start hongi?,"{'Umain Ul Hassan': {}, 'Sajida Maalik': {}}"
Mai peshawar campus mai eligible aarha hun tou kiya mai admission krwaa skta hun BSCS mai,"{'Affan Shikrani': {}, 'Hassan Ahmed Ilyas': {}}"
Bs computer science from fast islamabad or Bs Software engineering from comsat islambad. Any suugestions...,"{'Muhammad Ahmed': {'text': 'Fast'}, 'Khan Imran Khan': {'text': 'Fast'}}"
Bhai plzz cnfirm karka bata do 3rd merit list ka koi chance hai ??Brother please confirm and tell me if there is any chance of 3rd merit list??,"{'Muhammad Aizaz Burki': {'text': ""Islamabad campus isn't responding regarding this query""}, 'ارسلان احمد دانش': {'text': 'Aj lagni thi list'}}"
,{}
Yar kal koi phone krle islamabad mai pooch le koi list ka ya seats ka mera tou phone hi nahi utha rahe,"{'Muhammad Aizaz Burki': {}, 'Shaheryar Ashfaq': {'text': 'Cs ior se ki tamam seats full ho chuki'}}"
Have any info about MS AI n MS cyber security...?,{}
I heard that this is the first time FAST is offering SE.. I needed a bit of advice.. As Comsats is also highly rated for their SE.. I Got admission in both Comsats and Fast in SE.. So i cannot decide where to go.. Can u walk me through the right way?,"{'Imran Khan': {'text': 'Comsats'}, 'Shabbir Ahmad Anjum': {'text': 'Go with Comsat'}}"
,"{'Nadeem Iqbal': {}, 'Ismail Ramzan': {}}"
,{}
Anyone from BS AI?,"{'Zain Hassan Chaudry': {}, 'MaliCk Adeen Hassan': {}}"
Fast ki 3rd merit list ka koi chance hai ya nhi ??,"{'Mudasser Talal': {'text': 'No further list'}, 'Nadeem Iqbal': {}}"
Fast Isld ka AI achahai?,"{'Sheheryar Bakht': {}, 'Adan Khan': {}}"
Fast Isl men classes 31aug se hen? And online hen ya normal routine?,"{'Ahsan Rashid': {}, 'Ahmad Liaqat': {}}"
,"{'Saif Ur Rehman': {}, 'Sunny Rehman': {}}"
,{'Zain Murtaza': {}}
Anyone from Abbottabad who got admission in Fast (isb campus),{}
,"{'Hassan Ahmed Ilyas': {}, 'Sharif Ali': {}}"
Fast Islamabad mn winter aur fall donon mn admission khulte hn ya saal mn 1 dafa?,"{'Xãhîd Khâttâk': {'text': 'I think MS spring b hote'}, 'Sara Afzal': {'text': 'For Bachelors, only in Fall.For Masters, both spring and fall.'}}"
3rd list ka kiya pata chala hai kindly tell me,{'Muhammad Shamaas': {}}
 Requirements: - Total Experience of 2 to 5 Years - Hands on Development with Flutter (Minimum 1 Year)... - Live projects on Flutter is must - Experience with other mobile development platforms,{}
Kis kis na peshawar mai fee jma karwa dii ha for SE... Classmates??,"{'Abdul Subhan Khalid': {'text': 'Me CS'}, 'Sharif Ali': {'text': 'Me bscs'}}"
MS Data Science from NUST or FAST? Which one is better and why. Confused 😥,"{'Atiq Abdullah': {'text': 'Fast'}, 'Yasir Arfat': {}}"
BSCS or BSSE required from a reputable university. Fresh Graduates required with interest in development for Oracle NetSuite Cloud ERP.  Internship Period: 03 Months  Successful completion of NetSuite Training and Internship program may lead towards permanent employment.,{}
Agar list lag rhi hai kal tou I guess 2 ya 3 percent tou drop hoga kyun aadhay tou comsats nikal jaarn ge or seats abhi hope so k bachi hui hain 400 seats  hain I guess SE ki,"{'Nadeem Iqbal': {}, 'Syed Muhammad Danish Abdi': {'text': '350 seats hn... or mere or mere dusre dost ke roll number mein 250 students ka difference hn.. ab khud andaza lga lo'}}"
82.7 aggregate any chance in SE in 3rd merit list ISL campus? Kindly tell me,"{'Maleek Ahsan': {'text': 'I think 3rd list mushkil hi lagy'}, 'Sheheryar Bakht': {}}"
,"{'Mubashir Ali': {}, 'Jai Dev A Khatri': {}}"
Anyone here who is expert in oracle database for theory and practical based SQL paid assignments. Confident and motivated persons who are interested in freelancing please do contact.  Regards.,{'Saif Ur Rehman': {}}
CS student here: What programming language should I learn? I was studying vbn until now.,"{'Mehmood Ul Haq': {'text': 'Fast ke karachi, faisalabad, aur peshawar campuses main konsa campus sabse acha hai academic ke lehaz se...?'}, 'Imran Khan': {'text': 'Python , C++ for first semester'}}"
IS FAST FAISALABAD AND ISLAMABAD SAME OR DIFF,"{'Shabih Ul Hassan': {}, 'Hasnat Ahmed': {'text': 'Only location difference'}}"
"I got in Fast Isb for BS SE. Seniors, can you please suggest books or could share notes and guide me on this ?? I'd like to start studying /having an intro according to the Fast BS SE syllabus.",{'Hamza Baig': {}}
Is Bs(se) of fast Islamabad hec recognized?,{'Haseeb Ali': {}}
"I got admission in MSCS. But I'm confused like 'jasy behria uni ka mashour hay Kay wo Cgpa ni deti itna, tew kia FAST ka b kuxh Asa hi scene hay? Ya FAST me gpa sahi Ata hay? R Fast absolute marks deti ya relative marks?' kindly tell me.","{'Sara Afzal': {'text': ""In comparison to other universities, FAST does give a tough time. And you get a good gpa only if you've worked hard for it, minus some exceptional cases :pAnd the grading is mostly relative in all the courses but there may be absolute in some cases too. The grading scheme is announced to the students in the start of the semester.""}, 'Mudasser Talal': {}}"
,"{'Sabeah Ullah Warraich': {}, 'Ehtasham Ul Haq': {}}"
Got admission in BS(SE). Fast na SE just recently introduce karwaya ha apni uni ma koi andaza ha kaisa ha fast isb ka software engineering program and faculty? Would you recommend it?,"{'Sheraz Malik': {}, 'Muhammad Altaf': {'text': 'ghabrana nai ragrha aur mahnat sa. agar ghabra gay to kuch hath nai ay ga.   if you want to SE then go for it and work hard and if you are thinking like ka mushkil hua to nai karun ga then it will be wastage of time and money. kam bht ho ga mahnat karni ho g gpa asani sa nai ay ga fast ma khwari ho g but mahnat karo ga to kuch ho ga'}}"
FAST ki financial aid and scholarship ka kis tarhan pata lagna and kesai apply karna us kai liye?,"{'Chaudhry Muhammad Mahad Rasool': {'text': 'This is actually loan'}, 'Aqsa Jamshed': {'text': 'Fast does not offer scholarships. The first three position holders of each board examination  avail this opportunity. Although it offers students loans and installments.'}}"
Any one know about third merit list...,"{'Muhammad Shamaas': {}, 'Muneeb Waqas': {}}"
I submitted my fee in BS (SE) in Islamabad campus. My aggregate is 87.52. Can I transfer from Islamabad campus to Lahore campus after 1st or 2nd semester? Because Islamabad is expensive for me.,"{'Mirza Ahmad': {'text': 'Yes you can but you have to clear the entry test again bcz merit for lahore is higher than isb...so if after test your aggrigate is enough for lahore then u can tranfer'}, 'Gullsher Hussain Khan': {'text': ""you can swap with anyone who wants to come to Islo ! , but once you come into ISLO campus chances are you don't wanna leave""}}"
,"{'Muhammad Shamaas': {}, 'Anna Anjum': {'text': 'Pl guide bsse from fast isb or bscs from nust'}}"
,"{'Muhammad Saad': {}, 'Hamza Sabir': {'text': 'Ajj uni m bta rahe thy k merit just 1% drop ova h'}}"
,{'Usman Ahmed Awan': {'text': 'So definitely  there will be third list'}}
,{'Ehsan Satti': {}}
I didn’t get Admission in CS ISB but I got Adm in SE .. I want honest advice ... As we all have heard how much value FAST has of CS but Does SE has the same value? I am confused..,"{'Muhammad Shamaas': {}, 'Fatima Jamal': {}}"
,"{'Sheheryar Bakht': {'text': 'Fast Islamabad cash bhi accept kar leta hy. Po bhi or kissi bhi bank kabdraft'}, 'Zulqarnain Khan': {}}"
,"{'Muhammad Shahzaib': {}, 'Omair Hasan': {}}"
Fast phastaye ga matric ko 50% weightage dy kr,"{'Jawad Zain': {}, 'Zakriya Paracha': {}}"
For those students who got Admission in FAST Karachi campus kindly comment your discipline. Thanks.,{}
Is computer science is good in Islamabad or other campuses,"{'M Usman Ashraf': {}, 'حزیفہ صدیقی': {}}"
,"{'Irfan Irfi': {}, 'Ahsan Rashid': {'text': 'MS (CNS).  Isl campus'}}"
,"{'Sana Khan Marwat': {'text': 'Last date kia hi'}, 'Abdul Subhan Khalid': {}}"
" Role Description Develop software solutions by conferring with users, determining client needs, and following the software development lifecycle.... Work with colleagues to design, test, and develop software to fulfill the project. Recommend upgrades to existing applications as required. Document solutions in detail, how the application will work to ensure proper maintenance and assistance for future upgrades. Required Skills Strong background and experience in technologies & frameworks such as Spring, Struts, EXTJS, JSP, RMI, XML, JAXB, Oracle and Tomcat. Analytical skills – strong analytical skills are vital for this job, the applicant needs to analyze and assess a user or client’s needs to find the most suitable solution for them. Problem-solving skills – as coding issues emerge, find the right resolution for the problem. The applicant should enjoy problem-solving and fixing errors. Creativity – need a creative mindset to think outside the box and find alternative ways to develop application. Attention to detail – work on various parts of an application, so must be focused and detail-oriented to spot any inaccuracies or errors within the code. Interpersonal skills – this job requires working closely with other team members as well as clients to ascertain what they need from an application or system. need excellent interpersonal skills to do this efficiently. Bonus Skills Experience with full-stack web development using JavaScript frameworks such as MEAN/MERN stacks or equivalent. Experience with containerization technologies such as Docker, Kubernetes, AWS Lambda a plus. Experience with public cloud-based technologies such as AWS, Azure, GCE a plus. Experience with configuration management tools like Puppet, Chef, Ansible, and Jenkins.",{}
,"{'Syed Ali Hasnain': {'text': 'Fast peshawar bro. No brainer.'}, 'Affan Shikrani': {'text': 'Fast Pwr'}}"
BBA ki per semester fees kitne ho sakti hai approximately?,"{'Muhammad Alian Ansari': {}, 'Zabi Ahmed': {}}"
Any BS(AI) senior from Fast ISB??,{'Adan Khan': {}}
,"{'Saral Hussain': {'text': 'dhu sal reject kia ha fast waln na inshallah is sal third merit list ma nam ajaiga!!! sab bhaiooon sa darkhuwast ha k wo apnii duaon ma yad rakhy aur pas karwady plx plx plx <3 Ameen <3'}, 'Rovaid Bashir': {'text': 'Yh eligible walon ka kia scene ha? Inko rkhy ga ya ni!'}}"
Financial aid kese milte hai???? Kya sare documents attach kerne hoteu hai??? Kitne fee kam ho jati hai?????,{}
My aggregate is 87.52. I am not eligible is CS and SE in Lahore campus. But I am eligible in SE in Islamabad campus. CS closing merit in Islamabad is 88. Should I submit my fees in SE or wait for the third list? My first preference is CS. What should I do?,"{'Gullsher Hussain Khan': {'text': 'not much difference in courses, take what you can !'}, 'Kabir Khan': {'text': 'Kiya se pec se approved hai????'}}"
